,logpred
14282777,4.7990047626072725
17029381,5.687166257801991
7824740,4.918615852415979
19811650,6.010632649170897
12410741,4.574621028807359
19589738,4.643318360919078
15470255,4.75862485038341
6128434,4.777581909694361
18358465,4.600342975094141
8760362,3.7511720994952373
11755946,4.545933804718281
8327302,5.4116319333075715
13884363,4.64229177627091
6103273,5.199587196969208
18724232,4.402477576831878
19086978,4.08704636711765
6834210,4.487258999268358
9013556,4.549085978997021
11759260,5.139868805042338
8382187,5.192667855968167
1840445,4.066727348252957
15202859,3.893343809271704
18361399,4.857320247414304
17881079,4.408634034207656
16227150,5.833118140860165
9770459,4.951864956705213
4341518,4.598823593624781
10516580,4.939865070007186
16416474,4.652650035225939
5085892,4.6641196186623635
13697587,4.256755601037765
12158766,4.087820118230236
5386312,5.315281055905921
17692345,4.256934326483578
16026765,4.795262397650304
18505615,4.063678234356575
2262885,4.680180444852399
16674812,4.111238092840044
1628130,5.118142437039629
15379798,4.649998848069566
20173503,5.744605527349268
21173342,4.542057734468169
10019796,4.458413272536006
13116069,5.014221981813543
16245464,4.622879780407557
2298801,5.004021058910829
884803,4.659077681168625
16480090,4.828158940960226
9855805,3.9646557659981876
11407704,3.963596634203959
15572980,4.0240945958894425
8457785,5.4771494061386194
4115403,5.800365886369491
10138784,4.656185505408873
16592678,4.6389570925901635
7194843,5.001827570853523
20754111,5.16707663206539
19808904,5.163403130774749
16240085,4.41504698562328
16390897,5.397319802969083
15217021,5.243550876464004
2899177,4.318050144782909
823880,6.114971468168671
17960485,4.875877615636769
37197,5.50217637124754
17843177,4.731157192618547
20872950,5.6500038727173445
12028495,4.757993736728381
14824136,5.1705846304914935
5084563,4.67249215084748
9168809,4.432636087899058
16490010,5.091859313855623
752084,4.513083124977344
1391683,3.9818758002709105
13862932,4.705419316339919
18969917,5.193545545605548
2536255,4.282831878370884
7401453,3.854167895784347
8048838,4.549070041664328
17094930,5.394083618144311
1213652,5.328162985325134
18650533,4.9288123808235715
18428776,4.230873635781351
3497750,4.523428846428047
12784763,4.635575375573214
10166945,5.125093669014849
17024368,4.939126750020212
